id,active_search_condition,session_started,session_ended,session_duration_minutes,q1,q2,q3,q4,q5,q6,q7,q8,comments,technical_issues,age,sex,education
fgTmANyUtAen0exuGrzVzQ,control,2020-09-10 15:51:53,2020-09-10 16:05:22,13.483333333333333,2.0,4.0,4.0,2.0,,,,,"I am not sure if all of my selections were bookmarked because I could not find some of them in the list of bookmarks. However, it appeared that all of the selections I chose to bookmark turned green on the map. ",False,62,female,bachelors
mwbxr6aVEv5oB14fas9y7Q,greedy,2020-09-10 15:52:09,2020-09-10 16:03:55,11.766666666666667,2.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,,False,34,male,bachelors
nHFRA1QAG9pg93oF4T1L2Q,control,2020-09-10 15:53:08,2020-09-10 16:04:20,11.2,1.0,2.0,3.0,2.0,,,,,,False,30,female,bachelors
Q00_bx5Pq4Yn1_3XcqEp2g,control,2020-09-10 15:53:15,2020-09-10 16:05:40,12.416666666666666,3.0,3.0,4.0,2.0,,,,,,False,36,male,masters
Y3r-Fnt1-qWQS7_mmHI5jw,control,2020-09-10 15:53:28,2020-09-10 16:04:21,10.883333333333333,4.0,4.0,4.0,2.0,,,,,,False,39,female,bachelors
BUoAXX6AcppIfwqn6ooehQ,greedy,2020-09-10 15:54:56,2020-09-10 16:05:57,11.016666666666667,4.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0,,False,46,male,highschool
4rqOCG0RKXayyrLxm691UA,greedy,2020-09-10 15:56:27,2020-09-10 16:09:45,13.3,5.0,4.0,5.0,2.0,5.0,4.0,5.0,5.0,it is very interesting,False,35,female,masters
1XKUPtNbjKqOPNw7YmeUAA,greedy,2020-09-10 15:56:35,2020-09-10 16:08:16,11.683333333333334,3.0,4.0,3.0,2.0,3.0,4.0,3.0,5.0,,False,30,female,bachelors
_hA9RSZ7OTFvgTyyuBVd7w,greedy,2020-09-10 15:57:00,2020-09-10 16:10:35,13.583333333333334,4.0,4.0,4.0,2.0,2.0,4.0,4.0,5.0,,False,34,male,bachelors
5ECfx4KIAg6Yzyjhr4WnWg,control,2020-09-10 15:58:39,2020-09-10 16:10:49,12.166666666666666,4.0,4.0,4.0,2.0,,,,,,False,36,male,bachelors
uq51tok4glK6YATXynq5EQ,control,2020-09-10 15:59:13,2020-09-10 16:10:37,11.4,4.0,5.0,5.0,2.0,,,,,It was kind of fun to mess with this tool,False,44,male,associate
ZIRBQFPgBo9Lt_kHHC3MiA,control,2020-09-10 15:59:52,2020-09-10 16:10:22,10.5,3.0,4.0,4.0,2.0,,,,,,False,32,male,bachelors
